,VAL,+-Pt,RatOf,Pt,TirInt,TC,Ti%,3PI,3PC,3P%,2PI,2PC,2P%,TLI,TLC,AS,RD,RO,RT,Tap,PSO,REC,PER,Sec_played,AUTONOMA DE QUERETARO,AUTONOMA SAN LUIS,CUAUHTEMOC GUADALAJARA,LA SALLE BAJIO,TEC MTY LEON,TEC NM CELAYA,TEC NM JIQUILPAN,TECNOLOGICO AGUASCALIENTES,UNIVERSIDAD DE CELAYA,UNIVERSIDAD DE GUANAJUATO,UNLA MORELIA,UP AGUASCALIENTES,UP GUADALAJARA,UVM QUERETARO,UVM ZAPOPAN
0,21.0,16,-100.7,16,17.2,5,33.3,6,1,16.7,9,4,44.4,5,5,5,2,5,7,0,4,3,4,2325,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,28.0,-2,292.5,28,22.9,12,54.5,7,3,42.9,15,9,60.0,2,1,2,9,3,12,0,9,2,6,2248,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,8.0,9,335.8,15,18.8,5,29.4,4,1,25.0,13,4,30.8,4,4,1,3,2,5,0,2,1,3,2284,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,-13,-82.2,12,10.3,5,55.6,2,0,0.0,7,5,71.4,3,2,0,2,0,2,0,0,1,3,1615,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,27.0,7,530.3,19,19.4,5,33.3,3,0,0.0,12,5,41.7,10,9,6,6,1,7,0,6,3,3,2197,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,14.0,0,357.8,21,18.1,7,46.7,4,1,25.0,11,6,54.5,7,6,3,3,1,4,0,2,2,5,2257,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,8.0,-18,30.7,14,18.8,5,29.4,7,1,14.3,10,4,40.0,4,3,1,2,1,3,0,0,3,2,2237,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7,12.0,4,6836.9,14,20.0,4,25.0,6,0,0.0,10,4,40.0,9,6,2,5,2,7,0,0,1,1,1987,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,14.0,10,21.8,8,11.8,3,30.0,3,0,0.0,7,3,42.9,4,2,4,11,1,12,0,1,2,4,2131,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
9,18.0,2,319.7,17,14.1,5,45.5,2,0,0.0,9,5,55.6,7,7,6,3,1,4,0,0,0,4,2213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,14.0,14,-65.8,14,14.3,5,38.5,3,1,33.3,10,4,40.0,3,3,0,2,1,3,1,3,1,0,1455,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,15.0,-7,0.0,10,7.0,4,57.1,5,2,40.0,2,2,100.0,0,0,1,3,0,3,1,3,3,0,1591,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,12.0,-3,0.0,14,16.0,7,43.8,5,0,0.0,11,7,63.6,0,0,1,4,1,5,0,0,5,2,1851,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,15.0,18,-87.0,13,12.4,6,50.0,2,0,0.0,10,6,60.0,1,1,0,4,3,7,1,0,1,0,1390,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14,23.0,16,-21024.1,16,17.1,5,35.7,3,1,33.3,11,4,36.4,7,5,4,4,5,9,0,5,2,0,1795,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
15,11.0,-4,46.6,16,15.8,5,35.7,7,3,42.9,7,2,28.6,4,3,1,6,2,8,0,2,0,2,1879,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
